C0	N	idle
8	1	77.13
6	2	77.13
17	3	77.13
16	4	77.11
16	5	77.10
13	6	77.08
14	7	77.06
17	8	77.03
10	9	77.00
10	10	76.98
12	11	76.95
13	12	76.92
13	13	76.89
15	14	76.87
16	15	76.84
16	16	76.81
18	17	76.78
18	18	76.75
2	19	76.73
0	20	76.70
0	21	76.67
0	22	76.64
0	23	76.61
0	24	76.58
0	25	76.55
0	26	76.52
0	27	76.49
0	28	76.46
0	29	76.43
0	30	76.40
0	31	76.37
0	32	76.34
0	33	76.31
0	34	76.28
0	35	76.25
0	36	76.22
0	37	76.19
0	38	76.16
0	39	76.13
0	40	76.10
0	41	76.07
0	42	76.04
0	43	76.01
0	44	75.98
0	45	75.95
0	46	75.92
0	47	75.89
0	48	75.86
0	49	75.83
0	50	75.80
